t_o r_p l_p r_v l_v
371336 4 5 0 0
371346 4 5 0 0
371356 4 5 0 0
371366 4 5 0 0
371376 4 5 0 0
371386 4 5 0 0
371396 4 5 0 0
371406 4 5 0 0
371416 4 5 0 0
371426 4 5 0 0
371436 4 5 0 0
371446 4 5 0 0
371456 4 5 0 0
371466 4 5 0 0
371476 4 5 0 0
371486 4 5 0 0
371496 4 5 0 0
371506 4 5 0 0
371516 4 5 0 0
371526 4 5 0 0
371536 4 5 0 0
371546 4 5 0 0
371556 4 5 0 0
371566 4 5 0 0
371576 4 5 0 0
371586 4 5 0 0
371596 4 5 0 0
371606 4 5 0 0
371616 4 5 0 0
371626 4 5 0 0
371636 4 5 0 0
371646 4 5 0 0
371656 4 5 0 0
371666 4 5 0 0
371676 4 5 0 0
371686 4 5 0 0
371696 4 5 0 0
371706 4 5 0 0
371716 4 5 0 0
371726 4 5 0 0
371736 4 5 0 0
371746 4 5 0 0
371756 4 5 0 0
371766 4 5 0 0
371776 4 5 0 0
371786 4 5 0 0
371796 4 5 0 0
371806 4 5 0 0
371816 4 5 0 0
371826 4 5 0 0
371836 4 5 0 0
371846 4 5 0 0
371856 4 5 0 0
371866 4 5 0 0
371876 4 5 0 0
371886 4 5 0 0
371896 4 5 0 0
371906 4 5 0 0
371916 4 5 0 0
371926 4 5 0 0
371936 4 5 0 0
371946 4 5 0 0
371956 4 5 0 0
371966 4 5 0 0
371976 4 5 0 0
371986 4 5 0 0
371996 4 5 0 0
372006 4 5 0 0
372016 4 5 0 0
372026 4 5 0 0
372036 4 5 0 0
372046 4 5 0 0
372056 4 5 0 0
372066 4 5 0 0
372076 4 5 0 0
372086 4 5 0 0
372096 4 5 0 0
372106 4 5 0 0
372116 4 5 0 0
372126 4 5 0 0
372136 4 5 0 0
372146 4 5 0 0
372156 4 5 0 0
372166 4 5 0 0
372176 4 5 0 0
372186 4 5 0 0
372196 4 5 0 0
372206 4 5 0 0
372216 4 5 0 0
372226 4 5 0 0
372236 4 5 0 0
372246 4 5 0 0
372256 4 5 0 0
372266 4 5 0 0
372276 4 5 0 0
372286 4 5 0 0
372296 4 5 0 0
372306 4 5 0 0
372316 4 5 0 0
372326 4 5 0 0
372336 4 5 0 0
372346 4 5 0 0
372356 4 5 0 0
372366 4 5 0 0
372376 4 5 0 0
372386 4 5 0 0
372396 4 5 0 0
372406 4 5 0 0
372416 4 5 0 0
372426 4 5 0 0
372436 4 5 0 0
372446 4 5 0 0
372456 4 5 0 0
372466 4 5 0 0
372476 4 5 0 0
372486 4 5 0 0
372496 4 5 0 0
372506 4 5 0 0
372516 4 5 0 0
372526 4 5 0 0
372536 4 5 0 0
372546 4 5 0 0
372556 4 5 0 0
372566 4 5 0 0
372576 4 5 0 0
372586 4 5 0 0
372596 4 5 0 0
372606 4 5 0 0
372616 4 5 0 0
372626 4 5 0 0
372636 4 5 0 0
372646 4 5 0 0
372656 4 5 0 0
372666 4 5 0 0
372676 4 5 0 0
372686 4 5 0 0
372696 4 5 0 0
372706 4 5 0 0
372716 4 5 0 0
372726 4 5 0 0
372736 4 5 0 0
372746 4 5 0 0
372756 4 5 0 0
372766 4 5 0 0
372776 4 5 0 0
372786 4 5 0 0
372796 4 5 0 0
372806 4 5 0 0
372816 4 5 0 0
372827 4 5 0 0
372837 4 5 0 0
372847 4 5 0 0
372857 4 5 0 0
372867 4 5 0 0
372876 4 5 0 0
372886 4 5 0 0
372896 4 5 0 0
372906 4 5 0 0
372916 4 5 0 0
372926 4 5 0 0
372936 4 5 0 0
372946 4 5 0 0
372956 4 5 0 0
372966 4 5 0 0
372976 4 5 0 0
372986 4 5 0 0
372996 4 5 0 0
373006 4 5 0 0
373016 4 5 0 0
373026 4 5 0 0
373036 4 5 0 0
373046 4 5 0 0
373056 4 5 0 0
373066 4 5 0 0
373076 4 5 0 0
373086 4 5 0 0
373096 4 5 0 0
373106 4 5 0 0
373116 4 5 0 0
373126 4 5 0 0
373136 4 5 0 0
373146 4 5 0 0
373156 4 5 0 0
373166 4 5 0 0
373176 4 5 0 0
373186 4 5 0 0
373196 4 5 0 0
373206 4 5 0 0
373216 4 5 0 0
373226 4 5 0 0
373236 4 5 0 0
373246 4 5 0 0
373256 4 5 0 0
373266 4 5 0 0
373276 4 5 0 0
373286 4 5 0 0
373296 4 5 0 0
373306 4 5 0 0
373316 4 5 0 0
373326 4 5 0 0
373336 4 5 0 0
373346 4 5 0 0
373356 4 5 0 0
373366 4 5 0 0
373376 4 5 0 0
373386 4 5 0 0
373396 4 5 0 0
373406 4 5 0 0
373416 4 5 0 0
373426 4 5 0 0
373436 4 5 0 0
373446 4 5 0 0
373456 4 5 0 0
373466 4 5 0 0
373476 4 5 0 0
373486 4 5 0 0
373496 4 5 0 0
373506 4 5 0 0
373516 4 5 0 0
373526 4 5 0 0
373536 4 5 0 0
373546 4 5 0 0
373556 4 5 0 0
373566 4 5 0 0
373576 4 5 0 0
373586 4 5 0 0
373596 4 5 0 0
373606 4 5 0 0
373616 4 5 0 0
373626 4 5 0 0
373636 4 5 0 0
373646 4 5 0 0
373656 4 5 0 0
373666 4 5 0 0
373676 4 5 0 0
373686 4 5 0 0
373696 4 5 0 0
373706 4 5 0 0
373716 4 5 0 0
373726 4 5 0 0
373736 4 5 0 0
373746 4 5 0 0
373756 4 5 0 0
373766 4 5 0 0
373776 4 5 0 0
373786 4 5 0 0
373796 4 5 0 0
373806 4 5 0 0
373816 4 5 0 0
373826 4 5 0 0
373836 4 5 0 0
373846 4 5 0 0
373856 4 5 0 0
373866 4 5 0 0
373876 4 5 0 0
373886 4 5 0 0
373896 4 5 0 0
373906 4 5 0 0
373916 4 5 0 0
373926 4 5 0 0
373936 4 5 0 0
373946 4 5 0 0
373956 4 5 0 0
373966 4 5 0 0
373976 4 5 0 0
373986 4 5 0 0
373996 4 5 0 0
374006 4 5 0 0
374016 4 5 0 0
374026 4 5 0 0
374036 4 5 0 0
374046 4 5 0 0
374056 4 5 0 0
374066 4 5 0 0
374076 4 5 0 0
374086 4 5 0 0
374096 4 5 0 0
374106 4 5 0 0
374116 4 5 0 0
374126 4 5 0 0
374136 4 5 0 0
374146 4 5 0 0
374156 4 5 0 0
374166 4 5 0 0
374176 4 5 0 0
374186 4 5 0 0
374196 4 5 0 0
374206 4 5 0 0
374216 4 5 0 0
374226 4 5 0 0
374236 4 5 0 0
374246 4 5 0 0
374256 4 5 0 0
374266 4 5 0 0
374276 4 5 0 0
374286 4 5 0 0
374296 4 5 0 0
374306 4 5 0 0
374316 4 5 0 0
374326 4 5 0 0
374336 4 5 0 0
374346 4 5 0 0
374356 4 5 0 0
374366 4 5 0 0
374376 4 5 0 0
374386 4 5 0 0
374396 4 5 0 0
374406 4 5 0 0
374416 4 5 0 0
374426 4 5 0 0
374436 4 5 0 0
374446 4 5 0 0
374457 4 5 0 0
374467 4 5 0 0
374477 4 5 0 0
374487 4 5 0 0
374497 4 5 0 0
374507 4 5 0 0
374516 4 5 0 0
374526 4 5 0 0
374536 4 5 0 0
374546 4 5 0 0
374556 4 5 0 0
374566 4 5 0 0
374576 4 5 0 0
374586 4 5 0 0
374596 4 5 0 0
374606 4 5 0 0
374616 4 5 0 0
374626 4 5 0 0
374636 4 5 0 0
374646 4 5 0 0
374656 4 5 0 0
374666 4 5 0 0
374676 4 5 0 0
374686 4 5 0 0
374696 4 5 0 0
374706 4 5 0 0
374716 4 5 0 0
374726 4 5 0 0
374736 4 5 0 0
374746 4 5 0 0
374756 4 5 0 0
374766 4 5 0 0
374776 4 5 0 0
374786 4 5 0 0
374796 4 5 0 0
374806 4 5 0 0
374816 4 5 0 0
374826 4 5 0 0
374836 4 5 0 0
374846 4 5 0 0
374856 4 5 0 0
374866 4 5 0 0
374876 4 5 0 0
374886 4 5 0 0
374896 4 5 0 0
374906 4 5 0 0
374916 4 5 0 0
374926 4 5 0 0
374936 4 5 0 0
374946 4 5 0 0
374956 4 5 0 0
374966 4 5 0 0
374976 4 5 0 0
374986 4 5 0 0
374996 4 5 0 0
375006 4 5 0 0
375016 4 5 0 0
375026 4 5 0 0
375036 4 5 0 0
375046 4 5 0 0
375056 4 5 0 0
375066 4 5 0 0
375076 4 5 0 0
375086 4 5 0 0
375096 4 5 0 0
375106 4 5 0 0
375116 4 5 0 0
375126 4 5 0 0
375136 4 5 0 0
375146 4 5 0 0
375156 4 5 0 0
