t_f px py fd
372226 -679 657 271
372236 -679 657 266
372246 -679 657 272
372256 -679 657 268
372266 -679 657 271
372276 -679 657 264
372286 -679 657 270
372296 -679 657 273
372306 -679 657 266
372316 -679 657 274
372326 -679 657 269
372336 -679 657 267
372346 -679 657 278
372356 -679 657 264
372366 -679 657 267
372376 -679 657 275
372386 -679 657 271
372396 -679 657 265
372406 -679 657 270
372416 -679 657 274
372426 -679 657 268
372436 -679 657 272
372446 -679 657 274
372456 -679 657 275
372466 -679 657 266
372476 -679 657 266
372486 -679 657 271
372496 -679 657 266
372506 -679 657 270
372516 -679 657 265
372526 -679 657 265
372536 -679 657 270
372546 -679 657 265
372556 -679 657 267
372566 -679 657 269
372576 -679 657 268
372586 -679 657 269
372596 -679 657 270
372606 -679 657 277
372616 -679 657 269
372626 -679 657 270
372636 -679 657 277
372646 -679 657 275
372656 -679 657 268
372666 -679 657 269
372676 -679 657 271
372686 -679 657 278
372696 -679 657 272
372706 -679 657 269
372716 -679 657 270
372726 -679 657 272
372736 -679 657 274
372746 -679 657 265
372756 -679 657 268
372766 -679 657 272
372776 -679 657 273
372786 -679 657 272
372796 -679 657 276
372806 -679 657 273
372816 -679 657 276
372827 -679 657 260
372837 -679 657 272
372847 -679 657 273
372857 -679 657 272
372867 -679 657 271
372876 -679 657 271
372886 -679 657 275
372896 -679 657 265
372906 -679 657 270
372916 -679 657 267
372926 -679 657 270
372936 -679 657 267
372946 -679 657 271
372956 -679 657 279
372966 -679 657 273
372976 -679 657 266
372986 -679 657 271
372996 -679 657 271
373006 -679 657 261
373016 -679 657 267
373026 -679 657 280
373036 -679 657 273
373046 -679 657 265
373056 -679 657 267
373066 -679 657 275
373076 -679 657 271
373086 -679 657 270
373096 -679 657 270
373106 -679 657 271
373116 -679 657 270
373126 -679 657 269
373136 -679 657 268
373146 -679 657 270
373156 -679 657 269
373166 -679 657 275
373176 -679 657 271
373186 -679 657 270
373196 -679 657 278
373206 -679 657 274
373216 -679 657 268
373226 -679 657 259
373236 -679 657 274
373246 -679 657 272
373256 -679 657 266
373266 -679 657 273
373276 -679 657 272
373286 -679 657 266
373296 -679 657 270
373306 -679 657 271
373316 -679 657 271
373326 -679 657 271
373336 -679 657 273
373346 -679 657 264
373356 -679 657 276
373366 -679 657 275
373376 -679 657 268
373386 -679 657 272
373396 -679 657 274
373406 -679 657 276
373416 -679 657 268
373426 -679 657 276
373436 -679 657 266
373446 -679 657 267
373456 -679 657 270
373466 -679 657 271
373476 -679 657 273
373486 -679 657 267
373496 -679 657 272
373506 -679 657 272
373516 -679 657 264
373526 -679 657 270
373536 -679 657 269
373546 -679 657 271
373556 -679 657 267
373566 -679 657 273
373576 -679 657 265
373586 -679 657 271
373596 -679 657 274
373606 -679 657 270
373616 -679 657 264
373626 -679 657 265
373636 -679 657 270
373646 -679 657 275
373656 -679 657 270
373666 -679 657 265
373676 -679 657 265
373686 -679 657 267
373696 -679 657 273
373706 -679 657 269
373716 -679 657 269
373726 -679 657 270
373736 -679 657 274
373746 -679 657 264
373756 -679 657 275
373766 -679 657 273
373776 -679 657 261
373786 -679 657 274
373796 -679 657 267
373806 -679 657 274
373816 -679 657 268
373826 -679 657 269
373836 -679 657 271
373846 -679 657 272
373856 -679 657 271
373866 -679 657 266
373876 -679 657 267
373886 -679 657 279
373896 -679 657 274
373906 -679 657 271
373916 -679 657 269
373926 -679 657 269
373936 -679 657 268
373946 -679 657 267
373956 -679 657 266
373966 -679 657 270
373976 -679 657 270
373986 -679 657 273
373996 -679 657 267
374006 -679 657 272
374016 -679 657 273
374026 -679 657 271
374036 -679 657 269
374046 -679 657 270
374056 -679 657 263
374066 -679 657 273
374076 -679 657 270
374086 -679 657 269
374096 -679 657 273
374106 -679 657 272
374116 -679 657 272
374126 -679 657 274
374136 -679 657 270
374146 -679 657 274
