t right_dis left_dis right_v left_v
1880066 7143 6391 0 0
1880076 7143 6391 0 0
1880086 7143 6391 0 0
1880096 7143 6391 0 0
1880106 7143 6391 0 0
1880116 7143 6391 0 0
1880126 7143 6391 0 0
1880136 7143 6391 0 0
1880146 7143 6391 0 0
1880156 7143 6391 0 0
1880166 7143 6391 0 0
1880176 7143 6391 0 0
1880186 7143 6391 0 0
1880196 7143 6391 0 0
1880207 7143 6391 0 0
1880217 7143 6391 0 0
1880227 7143 6391 0 0
1880237 7143 6391 0 0
1880247 7143 6391 0 0
1880257 7143 6391 0 0
1880267 7143 6391 0 0
1880276 7143 6391 0 0
1880286 7143 6391 0 0
1880296 7143 6391 0 0
1880306 7143 6391 0 0
1880316 7143 6391 0 0
1880326 7143 6391 0 0
1880336 7143 6391 0 0
1880346 7143 6391 0 0
1880356 7143 6391 0 0
1880366 7143 6391 0 0
1880376 7143 6391 0 0
1880386 7143 6391 0 0
1880396 7143 6391 0 0
1880406 7143 6391 0 0
1880416 7143 6391 0 0
1880426 7143 6391 0 0
1880436 7143 6391 0 0
1880446 7143 6391 0 0
1880456 7143 6391 0 0
1880466 7143 6391 0 0
1880476 7143 6391 0 0
1880486 7143 6391 0 0
1880496 7143 6391 0 0
1880506 7143 6391 0 0
1880516 7143 6391 0 0
1880526 7143 6391 0 0
1880536 7143 6391 0 0
1880546 7143 6391 0 0
1880556 7143 6391 0 0
1880566 7143 6391 0 0
1880576 7143 6391 0 0
1880586 7143 6391 0 0
1880596 7143 6391 0 0
1880606 7143 6391 0 0
1880616 7143 6391 0 0
1880626 7143 6391 0 0
1880636 7143 6391 0 0
1880646 7143 6391 0 0
1880656 7143 6391 0 0
1880666 7143 6391 0 0
1880676 7143 6391 0 0
1880686 7143 6391 0 0
1880696 7143 6391 0 0
1880706 7143 6391 0 0
1880716 7143 6391 0 0
1880726 7143 6391 0 0
1880736 7143 6391 0 0
1880746 7143 6391 0 0
1880756 7143 6391 0 0
1880766 7143 6391 0 0
1880776 7143 6391 0 0
1880786 7143 6391 0 0
1880796 7143 6391 0 0
1880806 7143 6391 0 0
1880816 7143 6391 0 0
1880826 7143 6391 0 0
1880836 7143 6391 0 0
1880846 7143 6391 0 0
1880856 7143 6391 0 0
1880866 7143 6391 0 0
1880876 7143 6391 0 0
1880886 7143 6391 0 0
1880896 7143 6391 0 0
1880906 7143 6391 0 0
1880916 7143 6391 0 0
1880926 7143 6391 0 0
1880936 7143 6391 0 0
1880946 7143 6391 0 0
1880956 7143 6391 0 0
1880966 7143 6391 0 0
1880976 7143 6391 0 0
1880986 7143 6391 0 0
1880996 7143 6391 0 0
1881006 7143 6391 0 0
1881016 7143 6391 0 0
1881026 7143 6391 0 0
1881036 7143 6391 0 0
1881046 7143 6391 0 0
1881056 7143 6391 0 0
1881066 7143 6391 0 0
1881076 7143 6391 0 0
1881086 7143 6391 0 0
1881096 7143 6391 0 0
1881106 7143 6391 0 0
1881116 7143 6391 0 0
1881126 7143 6391 0 0
1881136 7143 6391 0 0
1881146 7143 6391 0 0
1881156 7143 6391 0 0
1881166 7143 6391 0 0
1881176 7143 6391 0 0
1881186 7143 6391 0 0
1881196 7143 6391 0 0
1881206 7143 6391 0 0
1881216 7143 6391 0 0
1881226 7143 6391 0 0
1881236 7143 6391 0 0
1881246 7143 6391 0 0
1881256 7143 6391 0 0
1881266 7143 6391 0 0
1881276 7143 6391 0 0
1881286 7143 6391 0 0
1881296 7143 6391 0 0
1881306 7143 6391 0 0
1881316 7143 6391 0 0
1881326 7143 6391 0 0
1881336 7143 6391 0 0
1881346 7143 6391 0 0
1881356 7143 6391 0 0
1881366 7143 6391 0 0
1881376 7143 6391 0 0
1881386 7143 6391 0 0
1881396 7143 6391 0 0
1881406 7143 6391 0 0
1881416 7143 6391 0 0
1881426 7143 6391 0 0
1881436 7143 6391 0 0
1881446 7143 6391 0 0
1881456 7143 6391 0 0
1881466 7143 6391 0 0
1881476 7143 6391 0 0
1881486 7143 6391 0 0
1881496 7143 6391 0 0
1881506 7143 6391 0 0
1881516 7143 6391 0 0
1881526 7143 6391 0 0
1881536 7143 6391 0 0
1881546 7143 6391 0 0
1881556 7143 6391 0 0
1881566 7143 6391 0 0
1881576 7143 6391 0 0
1881586 7143 6391 0 0
1881596 7143 6391 0 0
1881606 7143 6391 0 0
1881616 7143 6391 0 0
1881626 7143 6391 0 0
1881636 7143 6391 0 0
1881646 7143 6391 0 0
1881656 7143 6391 0 0
1881666 7143 6391 0 0
1881676 7143 6391 0 0
1881686 7143 6391 0 0
