t_imu ax ay az gx gy gz
15.417 -0.0556652 0.0493804 9.86531 -0.0686646 0.137329 0.144959
15.427 -0.0610521 0.0502782 9.86172 0.0228882 -0.274658 0.0457764
15.436 -0.0520739 0.0601543 9.85184 0.0457764 -0.137329 0.1297
15.446 -0.0457891 0.0314239 9.8671 0.0686646 -0.137329 0.144959
15.456 -0.071826 0.0430956 9.87249 0.0228882 -0.228882 0.0610352
15.466 -0.0610521 0.0664391 9.86441 0.0839234 0.114441 0.198364
15.476 -0.0233435 0.0493804 9.85543 0.0076294 0.0152588 0.190735
15.486 -0.0790087 0.0448913 9.85633 -0.038147 -0.038147 0.0076294
15.496 -0.0745195 0.0350152 9.89045 0.0152588 0.0305176 0.0457764
15.506 -0.0843956 0.0421978 9.8671 0.0076294 0.0686646 0.0839234
15.516 -0.0592565 0.0493804 9.85992 -0.0076294 -0.0839234 0.160217
15.526 -0.0448913 0.0413 9.85813 0.0228882 -0.0457764 0.0534058
15.536 -0.0817021 0.056563 9.8689 0.0228882 -0.076294 0
15.546 -0.0682347 0.0502782 9.87788 0.0152588 -0.0915528 0.0839234
15.556 -0.0475848 0.0260369 9.86531 -0.0076294 0.076294 0.152588
15.566 -0.0664391 0.0430956 9.8689 0.038147 0.12207 0.1297
15.576 -0.06195 0.0484826 9.86621 0.0839234 0.114441 0.183106
15.586 -0.0466869 0.0377087 9.8689 -0.038147 -0.038147 0.0686646
15.596 -0.0583587 0.0493804 9.87159 0.0610352 -0.198364 0.106812
15.606 -0.0799065 0.0368109 9.8689 0.114441 -0.0152588 0.144959
15.616 -0.0628478 0.0502782 9.87788 0.0686646 -0.0076294 0.183106
15.626 -0.0484826 0.0430956 9.86621 0.0686646 0.0534058 0.190735
15.636 -0.0673369 0.0386065 9.86172 0.038147 -0.0457764 0.221253
15.646 -0.0314239 0.0323217 9.87339 -0.0915528 0.0152588 0.12207
15.656 -0.0763152 0.0421978 9.88416 -0.0228882 0.0228882 0.12207
15.666 -0.0628478 0.0511761 9.88237 0.0228882 -0.038147 0.106812
15.676 -0.0655413 0.0475848 9.85723 0.0305176 0.0610352 0.106812
15.686 -0.0520739 0.0493804 9.86351 -0.0686646 -0.0686646 0.076294
15.696 -0.0332195 0.0601543 9.8689 0.0686646 -0.152588 0.213623
15.706 -0.0520739 0.0332195 9.8689 0.0228882 0 0.106812
15.716 -0.0413 0.0287304 9.84735 0.0534058 0.0076294 0.0839234
15.726 -0.0799065 0.0296282 9.84645 0.0991822 0.0991822 0.1297
15.736 -0.0763152 0.0143652 9.86261 0.0991822 -0.0152588 0.175476
15.746 -0.06195 0.0341174 9.85813 -0.0534058 0.0076294 0.106812
15.756 -0.06195 0.0368109 9.868 0.0305176 0.0076294 0.114441
15.766 -0.056563 0.0404022 9.87339 -0.0534058 -0.0076294 0.0610352
15.776 -0.0592565 0.0538695 9.87249 -0.0991822 -0.0076294 0.0915528
15.786 -0.0745195 0.0583587 9.88596 0.0076294 -0.137329 0.144959
15.796 -0.0879869 0.0574608 9.86621 -0.0152588 -0.183106 0.076294
15.806 -0.0664391 0.0260369 9.85633 0.0457764 -0.0076294 0.0839234
15.816 -0.0745195 0.0529717 9.86621 0.137329 -0.183106 0.114441
15.826 -0.0808043 0.0323217 9.86531 0.0457764 -0.0610352 0.221253
15.836 -0.0529717 0.0457891 9.8707 -0.0228882 -0.076294 0.152588
15.846 -0.0655413 0.077213 9.84915 0.0228882 0.0534058 0.236511
15.856 -0.0879869 0.0538695 9.87878 0.0915528 -0.12207 0.167847
15.866 -0.0556652 0.0520739 9.85184 0.12207 -0.190735 0
15.876 -0.0350152 0.0260369 9.84017 0.144959 0.0534058 -0.0076294
15.886 -0.0646434 0.0314239 9.85992 0.076294 0.038147 -0.0076294
15.896 -0.0996586 0.0556652 9.8689 -0.0076294 -0.183106 0.137329
15.906 -0.0404022 0.0664391 9.87608 0.0076294 -0.0534058 -0.0610352
15.916 -0.0430956 0.0466869 9.87788 0.106812 -0.1297 0.0305176
15.926 -0.0727239 0.06195 9.86531 0.076294 -0.038147 0.0839234
15.936 -0.0547674 0.0691326 9.86082 0.0305176 -0.175476 0.0305176
15.946 -0.0421978 0.0808043 9.88237 0 -0.152588 0.0839234
15.956 -0.0502782 0.0520739 9.88596 0.106812 -0.0457764 -0.0534058
15.966 -0.0745195 0.0574608 9.8689 0.0305176 -0.144959 0.106812
15.976 -0.0574608 0.035913 9.85543 0.0228882 -0.0534058 0.0305176
15.986 -0.0502782 0.0287304 9.85633 0.0686646 -0.0305176 0.076294
15.996 -0.0700304 0.0475848 9.86261 0.144959 -0.282288 0.0991822
16.006 -0.0457891 0.0368109 9.84196 0.12207 -0.198364 -0.0076294
16.016 -0.0511761 0.0493804 9.85902 -0.0915528 -0.0305176 0
16.026 -0.0502782 0.0610521 9.8698 0.0076294 -0.0076294 0.0305176
16.036 -0.0682347 0.0538695 9.86621 -0.0534058 0.0076294 0.0686646
16.046 -0.0547674 0.0341174 9.87339 0.0305176 0.0076294 0.114441
16.056 -0.0448913 0.0413 9.84915 -0.0152588 0.144959 0.106812
16.066 -0.0538695 0.0655413 9.87698 -0.038147 0.0457764 0.183106
16.076 -0.0646434 0.0547674 9.8689 0.0686646 -0.0610352 0.190735
16.086 -0.0511761 0.0592565 9.8707 -0.0076294 -0.0686646 0.1297
16.096 -0.0323217 0.0314239 9.89224 0.076294 -0.183106 0.205994
16.106 -0.06195 0.0404022 9.85184 0.0534058 -0.137329 0.076294
16.116 -0.0601543 0.0269348 9.85005 0.106812 -0.167847 -0.0228882
16.126 -0.0502782 0.0233435 9.85364 0.12207 -0.175476 0.144959
16.136 -0.0646434 0.0323217 9.89404 0.12207 -0.175476 0.144959
16.146 -0.0520739 0.0314239 9.87788 0.0686646 -0.228882 0.076294
16.156 -0.0386065 0.0430956 9.88596 0.0152588 0.0534058 0.0991822
16.166 -0.0637456 0.0592565 9.86172 0.114441 0 0.0534058
16.176 -0.0601543 0.0475848 9.85094 0.12207 0.0152588 0.160217
16.186 -0.056563 0.0413 9.89135 0.12207 0.0076294 0.0534058
16.196 -0.0700304 0.0592565 9.85992 0.0076294 -0.0457764 0.152588
16.206 -0.0502782 0.0682347 9.85543 0.0457764 0.106812 0.160217
16.216 -0.0781108 0.0538695 9.8707 -0.0152588 0.1297 0.0915528
16.226 -0.0646434 0.00448913 9.86441 0 -0.0686646 0.0305176
16.236 -0.0601543 0.02065 9.86531 0.0076294 -0.106812 0.076294
16.246 -0.0511761 0.0511761 9.8689 0.106812 -0.038147 0.160217
16.256 -0.06195 0.0538695 9.868 0.038147 -0.0305176 0.1297
16.266 -0.0637456 0.0691326 9.85813 0.038147 -0.0915528 0.198364
16.276 -0.0691326 0.0323217 9.85543 -0.038147 0.0457764 0.175476
16.286 -0.0870891 0.0386065 9.86261 -0.0076294 0.167847 0.0305176
16.296 -0.0484826 0.0574608 9.84017 0 0.1297 0.0839234
16.306 -0.0682347 0.0888847 9.84735 -0.0305176 -0.0686646 0.137329
16.316 -0.0664391 0.0610521 9.87788 0 0 0.167847
16.326 -0.0691326 0.0439935 9.88775 0.0915528 -0.038147 0.160217
16.336 -0.06195 0.0448913 9.87967 -0.0305176 -0.0991822 0.0534058
16.346 -0.0475848 0.0817021 9.86261 -0.0152588 -0.076294 0.0686646
16.356 -0.0323217 0.0628478 9.868 0.0534058 0.0915528 0.0991822
16.366 -0.06195 0.0296282 9.87788 0 -0.0152588 0.12207
16.376 -0.0448913 0.0502782 9.87429 -0.0152588 0.0228882 0.1297
16.386 -0.0448913 0.0341174 9.85005 0.12207 -0.0152588 0.1297
16.396 -0.0673369 0.0224456 9.84556 0.0991822 0.137329 0.274658
16.406 -0.0700304 0.0592565 9.87429 0.0305176 0.190735 0.0839234
16.416 -0.0673369 0.0475848 9.86441 -0.076294 -0.076294 0.137329
16.426 -0.0942717 0.0430956 9.86531 0.0534058 -0.152588 -0.0305176
16.436 -0.0673369 0.0610521 9.85992 -0.0305176 -0.0991822 0.0915528
16.446 -0.0350152 0.0448913 9.8707 -0.0076294 0.106812 0.1297
16.456 -0.0502782 0.0727239 9.84825 0.0610352 -0.0305176 0.137329
16.466 -0.0637456 0.0529717 9.85094 0.0076294 -0.320435 0.137329
16.476 -0.0637456 0.0125696 9.86351 0.0076294 -0.0457764 -0.0152588
16.486 -0.0457891 0.0332195 9.86441 0.0534058 0.106812 0.25177
16.496 -0.0511761 0.0457891 9.86441 0.1297 -0.0076294 0.076294
16.506 -0.0529717 0.0583587 9.86172 0.0915528 -0.0610352 0.1297
16.516 -0.0502782 0.0475848 9.88147 0.0686646 -0.106812 0.114441
16.526 -0.0700304 0.0646434 9.87339 0.0915528 -0.2594 0.038147
16.536 -0.0673369 0.056563 9.8707 0.038147 -0.0534058 0.0076294
16.546 -0.0386065 0.02065 9.86441 0.0457764 0.0686646 0.0152588
16.556 -0.0538695 0.0323217 9.868 0.0610352 0.0305176 0.1297
16.566 -0.0763152 0.0628478 9.87429 0.0305176 -0.0457764 0.0686646
16.576 -0.0834978 0.0404022 9.88775 -0.0152588 -0.190735 0.038147
16.586 -0.0727239 0.0457891 9.868 0.0915528 -0.190735 0.0152588
16.596 -0.06195 0.0421978 9.85453 -0.0076294 -0.144959 0.1297
16.606 -0.0574608 0.0233435 9.85364 0.0534058 0 0.12207
16.616 -0.0799065 0.0430956 9.87429 0.0991822 -0.114441 0.114441
16.626 -0.0421978 0.0368109 9.86441 0.167847 -0.267029 0.0152588
16.636 -0.0448913 0.0511761 9.86082 0.0839234 -0.183106 0.1297
16.646 -0.0745195 0.0502782 9.85364 0.0686646 -0.152588 0.076294
16.656 -0.0520739 0.0655413 9.85453 0.0457764 -0.0686646 0.274658
16.666 -0.0520739 0.0709282 9.86351 0.0305176 -0.076294 0.144959
16.676 -0.0736217 0.071826 9.88955 -0.0534058 -0.0076294 0.0534058
16.686 -0.0448913 0.0601543 9.87878 0.0915528 0.0991822 0.205994
16.696 -0.0439935 0.0314239 9.8689 0.0686646 -0.0076294 0.0991822
16.706 -0.06195 0.056563 9.8689 0.0228882 -0.0610352 0.160217
16.716 -0.10325 0.0592565 9.87249 0.106812 0.1297 0.114441
16.726 -0.0781108 0.0682347 9.88596 0.0839234 0.137329 0.0457764
16.736 -0.0673369 0.0520739 9.8671 0.0839234 -0.0152588 0.190735
16.746 -0.0574608 0.0421978 9.83209 0.0610352 0.0534058 0.106812
16.756 -0.0457891 0.0350152 9.85633 0.0534058 -0.137329 0.160217
16.766 -0.06195 0.0242413 9.86621 0 0.038147 0.0228882
16.776 -0.0826 0.0368109 9.86172 0.0305176 -0.144959 0.0839234
16.786 -0.0583587 0.0691326 9.88147 0.0457764 -0.244141 0.076294
16.796 -0.06195 0.0448913 9.86261 -0.038147 -0.0152588 0.106812
16.806 -0.0556652 0.06195 9.8671 -0.0305176 -0.114441 -0.0152588
16.816 -0.0592565 0.0556652 9.89404 -0.0152588 -0.038147 0.0152588
16.826 -0.0350152 0.0430956 9.8671 0.12207 0.0076294 0.1297
16.836 -0.0574608 0.0350152 9.84286 0.0686646 -0.076294 0.0305176
16.846 -0.0709282 0.0430956 9.86172 0.0305176 0.038147 0.137329
16.856 -0.0413 0.0332195 9.85633 0.0305176 0.0686646 0.0610352
16.866 -0.035913 0.0529717 9.85992 0.0228882 0.0915528 0.160217
16.876 -0.0637456 0.0610521 9.86261 0.0839234 -0.213623 0.0152588
16.886 -0.0493804 0.0745195 9.85723 0.0915528 -0.0991822 0.228882
16.896 -0.0430956 0.0673369 9.8698 0.0152588 -0.0228882 0.167847
16.906 -0.0511761 0.0439935 9.85094 0.0534058 -0.038147 0.160217
16.916 -0.0421978 0.0691326 9.85813 -0.0686646 0.038147 0.106812
16.926 -0.0439935 0.0592565 9.86351 0.076294 -0.076294 0.152588
16.936 -0.0448913 0.056563 9.87698 -0.0076294 0.0305176 0.0839234
16.946 -0.0843956 0.0601543 9.88237 0.0534058 -0.0152588 0.0915528
