opt_t p_x p_y wall_0 wall_1 img_quality
484.836 1.08825 -30.804 4921 4923 235
484.846 1.08825 -30.804 4920 4923 236
484.856 1.08825 -30.804 4923 4923 235
484.866 1.08825 -30.804 4921 4926 242
484.876 1.08825 -30.804 4919 4925 234
484.886 1.08825 -30.804 4920 4921 240
484.896 1.08825 -30.804 4915 4921 232
484.906 1.08825 -30.804 4918 4923 230
484.916 1.08825 -30.804 4919 4923 240
484.926 1.08825 -30.804 4918 4923 230
484.936 1.08825 -30.804 4918 4924 236
484.946 1.08825 -30.804 4914 4923 244
484.956 1.08825 -30.804 4916 4924 238
484.966 1.08825 -30.804 4917 4925 238
484.976 1.08825 -30.804 4913 4922 235
484.986 1.08825 -30.804 4913 4921 242
484.996 1.08825 -30.804 4917 4922 240
485.006 1.08825 -30.804 4920 4923 232
485.016 1.08825 -30.804 4915 4923 232
485.026 1.08825 -30.804 4913 4923 234
485.036 1.08825 -30.804 4924 4923 242
485.046 1.08825 -30.804 4926 4924 234
485.056 1.08825 -30.804 4916 4923 234
485.066 1.08825 -30.804 4914 4923 234
485.076 1.08825 -30.804 4918 4922 240
485.086 1.08825 -30.804 4922 4924 246
485.096 1.08825 -30.804 4917 4924 238
485.106 1.08825 -30.804 4914 4921 234
485.116 1.08825 -30.804 4922 4923 232
485.126 1.08825 -30.804 4927 4925 238
485.136 1.08825 -30.804 4922 4924 235
485.146 1.08825 -30.804 4917 4924 239
485.156 1.08825 -30.804 4921 4924 234
485.166 1.08825 -30.804 4921 4924 237
485.176 1.08825 -30.804 4926 4923 235
485.186 1.08825 -30.804 4925 4925 238
485.196 1.08825 -30.804 4917 4924 236
485.206 1.08825 -30.804 4924 4922 231
485.216 1.08825 -30.804 4928 4922 235
485.226 1.08825 -30.804 4930 4923 233
485.236 1.08825 -30.804 4932 4925 234
485.246 1.08825 -30.804 4928 4925 232
485.256 1.08825 -30.804 4926 4923 239
485.266 1.08825 -30.804 4924 4923 237
485.276 1.08825 -30.804 4913 4924 241
485.286 1.08825 -30.804 4915 4922 232
485.296 1.08825 -30.804 4921 4922 244
485.306 1.08825 -30.804 4919 4922 239
485.316 1.08825 -30.804 4916 4922 238
485.326 1.08825 -30.804 4914 4921 241
485.336 1.08825 -30.804 4914 4920 241
485.346 1.08825 -30.804 4918 4923 237
485.356 1.08825 -30.804 4926 4925 237
485.366 1.08825 -30.804 4923 4920 243
485.376 1.08825 -30.804 4914 4919 233
485.386 1.08825 -30.804 4923 4921 235
485.396 1.08825 -30.804 4927 4924 241
485.406 1.08825 -30.804 4924 4926 234
485.416 1.08825 -30.804 4920 4924 241
485.426 1.08825 -30.804 4923 4924 237
485.436 1.08825 -30.804 4927 4923 236
485.446 1.08825 -30.804 4922 4923 232
485.456 1.08825 -30.804 4927 4923 237
485.466 1.08825 -30.804 4924 4923 233
485.476 1.08825 -30.804 4916 4924 240
485.486 1.08825 -30.804 4923 4925 236
485.496 1.08825 -30.804 4923 4927 240
485.506 1.08825 -30.804 4918 4924 234
485.516 1.08825 -30.804 4917 4920 238
485.526 1.08825 -30.804 4916 4920 235
485.536 1.08825 -30.804 4916 4922 236
485.546 1.08825 -30.804 4919 4923 236
485.556 1.08825 -30.804 4919 4923 240
485.566 1.08825 -30.804 4918 4922 238
485.576 1.08825 -30.804 4922 4922 230
485.586 1.08825 -30.804 4921 4923 240
485.596 1.08825 -30.804 4923 4923 241
485.606 1.08825 -30.804 4920 4923 238
485.616 1.08825 -30.804 4917 4922 236
485.626 1.08825 -30.804 4920 4923 233
485.636 1.08825 -30.804 4920 4923 241
485.646 1.08825 -30.804 4918 4922 234
485.656 1.08825 -30.804 4917 4924 236
485.666 1.08825 -30.804 4922 4924 232
485.676 1.08825 -30.804 4920 4923 238
485.686 1.08825 -30.804 4917 4921 239
485.696 1.08825 -30.804 4920 4921 241
485.706 1.08825 -30.804 4913 4922 234
485.716 1.08825 -30.804 4914 4925 231
485.726 1.08825 -30.804 4920 4925 242
485.736 1.08825 -30.804 4923 4923 236
485.746 1.08825 -30.804 4929 4926 232
485.756 1.08825 -30.804 4925 4929 242
485.766 1.08825 -30.804 4915 4924 244
485.776 1.08825 -30.804 4917 4921 246
485.786 1.08825 -30.804 4921 4920 233
485.796 1.08825 -30.804 4921 4921 236
485.806 1.08825 -30.804 4920 4924 237
485.816 1.08825 -30.804 4917 4922 241
485.826 1.08825 -30.804 4917 4919 234
485.836 1.08825 -30.804 4919 4922 236
485.846 1.08825 -30.804 4925 4923 236
485.856 1.08825 -30.804 4923 4923 230
485.866 1.08825 -30.804 4914 4923 232
485.876 1.08825 -30.804 4914 4922 240
485.886 1.08825 -30.804 4919 4921 237
485.896 1.08825 -30.804 4917 4919 237
485.906 1.08825 -30.804 4915 4922 236
485.916 1.08825 -30.804 4924 4925 236
485.926 1.08825 -30.804 4922 4924 240
485.936 1.08825 -30.804 4917 4925 239
485.946 1.08825 -30.804 4922 4924 232
485.956 1.08825 -30.804 4924 4920 240
485.966 1.08825 -30.804 4918 4921 237
485.976 1.08825 -30.804 4917 4920 243
485.986 1.08825 -30.804 4917 4919 235
485.996 1.08825 -30.804 4918 4922 229
486.006 1.08825 -30.804 4918 4921 238
486.016 1.08825 -30.804 4919 4922 240
486.026 1.08825 -30.804 4923 4922 230
486.036 1.08825 -30.804 4917 4923 232
486.046 1.08825 -30.804 4919 4924 232
486.056 1.08825 -30.804 4917 4924 236
486.066 1.08825 -30.804 4920 4925 240
486.076 1.08825 -30.804 4923 4924 240
486.086 1.08825 -30.804 4917 4923 239
486.096 1.08825 -30.804 4920 4922 237
486.106 1.08825 -30.804 4921 4923 240
486.116 1.08825 -30.804 4919 4924 239
486.126 1.08825 -30.804 4917 4924 235
486.136 1.08825 -30.804 4915 4921 238
486.146 1.08825 -30.804 4917 4921 236
486.156 1.08825 -30.804 4923 4924 242
486.166 1.08825 -30.804 4919 4923 235
486.176 1.08825 -30.804 4917 4922 235
486.186 1.08825 -30.804 4922 4924 241
486.196 1.08825 -30.804 4921 4924 232
486.206 1.08825 -30.804 4919 4922 232
486.216 1.08825 -30.804 4919 4923 239
